files,language,blank,comment,code
5122,C,559160,752292,3436448
4681,C/C++ Header,172359,395424,1543770
215,Assembly,6117,20896,45515
1066,make,4490,4658,11835
68,Objective C,1007,1598,6787
9,yacc,800,888,5084
8,ASP.Net,79,61,3989
25,awk,511,1043,3469
6,lex,429,634,1575
17,Bourne Shell,149,297,1094
2,Windows Module Definition,26,0,640
4,dtrace,67,4,481
3,Python,48,60,175
3,Windows Resource File,32,0,137
1,diff,23,155,103
2,Perl,31,2,91
1,MUMPS,3,0,43
1,Mercury,3,0,31
1,DOS Batch,0,0,16
1,sed,1,1,5
